STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5705;20230719;   10;  14.6;   2.3;    9;   7.3;   6;    7.400;   0;   6.5;  14.9;  982.00;   20.5;   65.00;   29.1;   14.8;   14.2;eor
       5705;20230720;   10;  11.1;   2.8;    9;   0.0;   0;   11.200;   0;   5.1;  13.1;  982.80;   20.0;   59.00;   25.4;   14.6;   13.4;eor
       5705;20230721;   10;  12.9;   1.8;    9;   0.3;   6;    2.500;   0;   7.4;  13.2;  981.00;   18.1;   64.00;   24.4;   14.8;   13.6;eor
       5705;20230722;   10;  11.7;   3.1;    9;   0.0;   0;    6.900;   0;   6.3;  12.3;  983.80;   19.1;   58.00;   26.1;   14.0;   12.4;eor
       5705;20230723;   10;  17.3;   5.6;    9;   0.0;   6;    7.700;   0;   7.6;  12.7;  980.60;   21.4;   51.00;   27.0;   15.0;   13.7;eor
       5705;20230724;   10;  16.9;   5.0;    9;   3.9;   6;    4.500;   0;   6.6;  16.3;  975.40;   19.7;   71.00;   25.3;   14.9;   13.4;eor
       5705;20230725;   10;  12.9;   2.8;    9;   2.8;   6;    2.100;   0;   7.8;  14.8;  974.90;   16.4;   79.00;   21.1;   13.4;   13.0;eor
       5705;20230726;   10;  12.3;   3.1;    9;   1.8;   6;    4.500;   0;   6.6;  12.0;  982.50;   14.8;   72.00;   20.1;   12.4;   11.2;eor
       5705;20230727;   10;  12.9;   3.8;    9;   8.2;   6;    0.000;   0;   7.6;  15.2;  979.80;   15.1;   88.00;   17.7;   10.9;   10.3;eor
       5705;20230728;   10;  12.3;   4.2;    9;   3.3;   6;    1.700;   0;   7.7;  18.5;  979.00;   18.7;   86.00;   24.0;   16.2;   15.9;eor
       5705;20230729;   10;  13.8;   4.3;    9;   4.8;   6;    6.900;   0;   5.5;  18.2;  979.10;   20.2;   79.00;   25.9;   16.4;   15.7;eor
       5705;20230730;   10;  15.2;   4.6;    9;   0.5;   6;    7.300;   0;   7.3;  15.0;  982.50;   19.0;   69.00;   23.3;   16.4;   15.5;eor
       5705;20230731;   10;  15.9;   6.7;    9;   5.4;   6;    2.100;   0;   7.9;  14.0;  980.80;   18.8;   65.00;   22.5;   16.0;   15.2;eor
       5705;20230801;   10;  16.3;   5.9;    9;   7.4;   6;    3.000;   0;   7.2;  16.0;  972.60;   16.9;   84.00;   22.7;   14.1;   13.2;eor
       5705;20230802;   10;  16.7;   5.5;    9;  12.4;   6;    0.800;   0;   6.6;  16.8;  969.80;   16.4;   89.00;   20.8;   12.7;   12.2;eor
       5705;20230803;   10;  24.2;   8.9;    9;   0.0;   0;    7.400;   0;   4.6;  14.1;  973.60;   18.0;   69.00;   21.7;   13.9;   12.3;eor
       5705;20230804;   10;   7.4;   2.1;    9;   2.2;   6;    4.600;   0;   7.2;  15.5;  981.40;   16.9;   81.00;   22.4;   13.8;   12.8;eor
       5705;20230805;   10;   5.9;   2.1;    9;   2.5;   6;    5.800;   0;   6.0;  14.2;  981.40;   18.3;   69.00;   22.8;   14.1;   13.3;eor
       5705;20230806;   10;  16.8;   6.1;    9;  10.6;   6;    1.800;   0;   7.5;  14.3;  976.40;   14.3;   87.00;   18.3;   11.9;   11.4;eor
       5705;20230807;   10;  17.0;   6.6;    9;   0.0;   6;    3.400;   0;   6.7;  11.9;  983.60;   13.3;   79.00;   17.8;   11.1;   10.3;eor
       5705;20230808;   10;  13.6;   4.6;    9;   4.7;   6;    8.200;   0;   6.6;  11.5;  984.40;   16.2;   64.00;   21.2;   10.8;    9.4;eor
       5705;20230809;   10;  10.2;   2.9;    9;   0.8;   6;    2.800;   0;   6.2;  14.3;  985.30;   15.5;   82.00;   19.6;   11.0;    8.6;eor
       5705;20230810;   10;   7.0;   1.5;    9;   0.0;   0;   11.800;   0;   1.4;  12.4;  989.80;   17.3;   67.00;   24.9;    8.6;    7.2;eor
       5705;20230811;   10;   5.7;   1.2;    9;   0.1;   6;   13.600;   0;   2.0;  15.0;  990.10;   20.8;   64.00;   29.2;   11.2;    9.9;eor
       5705;20230812;   10;  15.8;   1.6;    9;   9.5;   6;    2.800;   0;   7.1;  19.9;  987.10;   20.2;   85.00;   27.6;   16.5;   15.5;eor
       5705;20230813;   10;   8.4;   2.0;    9;   0.0;   6;    6.400;   0;   7.3;  19.7;  987.00;   21.7;   77.00;   27.1;   17.0;   16.2;eor
       5705;20230814;   10;   7.6;   1.8;    9;   0.2;   6;    9.300;   0;   6.3;  20.4;  984.50;   24.1;   70.00;   31.7;   17.7;   17.3;eor
       5705;20230815;   10;   9.7;   2.0;    9;   0.0;   6;    6.200;   0;   4.5;  21.2;  985.60;   23.4;   75.00;   29.5;   18.5;   16.5;eor
       5705;20230816;   10;   8.8;   2.2;    9;   0.9;   6;    8.000;   0;   4.9;  20.1;  987.30;   23.1;   73.00;   29.5;   16.9;   15.6;eor
       5705;20230817;   10;  13.0;   2.1;    9;   0.0;   0;    9.200;   0;   6.1;  19.8;  986.20;   22.3;   75.00;   30.3;   17.2;   16.3;eor
       5705;20230818;   10;   8.2;   2.6;    9;   0.0;   0;   12.900;   0;   2.0;  17.9;  985.50;   23.7;   64.00;   31.0;   16.1;   14.9;eor
       5705;20230819;   10;   8.9;   2.1;    9;   0.0;   6;    9.400;   0;   4.2;  19.7;  986.20;   25.5;   63.00;   35.0;   17.4;   15.9;eor
       5705;20230820;   10;   5.7;   1.7;    9;   0.0;   6;   12.000;   0;   3.3;  21.8;  989.50;   26.4;   65.00;   32.7;   20.6;   19.3;eor
       5705;20230821;   10;  10.4;   1.6;    9;   0.0;   0;   11.500;   0;   1.1;  20.0;  990.10;   26.2;   61.00;   33.5;   20.0;   19.1;eor
       5705;20230822;   10;   9.4;   2.3;    9;   0.0;   0;   12.400;   0;   2.0;  18.6;  988.20;   25.0;   61.00;   31.4;   18.5;   17.1;eor
       5705;20230823;   10;   7.6;   1.8;    9;   0.0;   6;   12.900;   0;   0.1;  16.3;  988.40;   23.4;   59.00;   29.9;   17.2;   14.9;eor
       5705;20230824;   10;  18.7;   2.4;    9;   0.4;   6;    6.400;   0;   6.5;  17.6;  984.50;   22.6;   67.00;   31.7;   14.5;   13.3;eor
       5705;20230825;   10;  11.2;   3.4;    9;   7.2;   6;    4.700;   0;   5.8;  19.7;  980.30;   21.4;   78.00;   26.1;   17.8;   17.0;eor
       5705;20230826;   10;   8.4;   2.9;    9;   0.7;   6;    6.400;   0;   5.9;  16.6;  981.40;   18.8;   77.00;   22.5;   13.7;   12.5;eor
       5705;20230827;   10;   7.9;   2.1;    9;   0.8;   6;    1.500;   0;   7.9;  15.3;  979.90;   16.7;   81.00;   21.7;   13.3;   12.5;eor
       5705;20230828;   10;   7.7;   1.9;    9;   1.6;   6;    0.200;   0;   8.0;  12.7;  980.20;   15.1;   74.00;   17.9;   12.9;   11.9;eor
       5705;20230829;   10;   5.8;   2.3;    9;   2.0;   6;    0.100;   0;   7.8;  13.7;  978.80;   15.0;   81.00;   18.4;   12.9;   11.9;eor
       5705;20230830;   10;  18.9;   3.0;    9;   0.7;   6;    5.100;   0;   6.5;  13.7;  977.60;   15.7;   78.00;   21.5;   11.7;    9.9;eor
       5705;20230831;   10;  13.2;   4.2;    9;   2.4;   6;    6.800;   0;   6.3;  12.0;  981.60;   15.4;   71.00;   20.2;   10.9;    9.7;eor
       5705;20230901;   10;  11.3;   3.3;    9;   5.0;   6;    0.800;   0;   7.0;  16.7;  983.90;   16.4;   90.00;   21.0;   12.9;   13.1;eor
       5705;20230902;   10;   5.2;   1.2;    9;   0.0;   0;    6.500;   0;   5.7;  16.1;  989.40;   18.2;   79.00;   24.9;   12.8;   11.9;eor
       5705;20230903;   10;   6.1;   1.5;    9;   0.0;   0;    9.000;   0;   5.9;  15.1;  994.80;   18.6;   73.00;   24.7;   13.4;   11.9;eor
       5705;20230904;   10;   9.9;   3.5;    9;   0.0;   0;   12.500;   0;   2.8;  12.4;  995.00;   19.5;   59.00;   27.0;   11.6;    9.8;eor
       5705;20230905;   10;  10.0;   3.2;    9;   0.0;   0;   12.600;   0;   3.2;  13.7;  991.20;   20.6;   58.00;   27.3;   13.4;   11.4;eor
       5705;20230906;   10;   8.5;   2.4;    9;   0.0;   0;   12.600;   0;   0.2;  13.3;  990.00;   20.8;   59.00;   29.7;   12.2;    9.4;eor
       5705;20230907;   10;   9.0;   2.5;    9;   0.0;   0;   12.500;   0;   0.1;  13.5;  989.20;   21.6;   56.00;   30.0;   13.3;   10.8;eor
       5705;20230908;   10;   7.6;   2.1;    9;   0.0;   0;   12.300;   0;   0.0;  13.7;  987.80;   21.4;   57.00;   29.9;   13.1;   10.8;eor
       5705;20230909;   10;   5.1;   1.5;    9;   0.0;   0;   12.200;   0;   0.0;  14.6;  986.90;   20.9;   63.00;   30.0;   12.0;    9.5;eor
       5705;20230910;   10;   6.0;   1.4;    9;   0.0;   0;   12.100;   0;   0.7;  14.9;  986.90;   21.7;   61.00;   30.8;   13.4;   11.7;eor
       5705;20230911;   10;   4.9;   1.3;    9;   0.0;   0;   11.800;   0;   2.0;  14.6;  983.70;   21.9;   60.00;   30.9;   13.8;   12.2;eor
       5705;20230912;   10;   8.1;   1.4;    9;   0.1;   6;   10.000;   0;   6.8;  16.0;  981.20;   22.8;   62.00;   31.7;   13.5;   12.3;eor
       5705;20230913;   10;   8.2;   2.8;    9;   0.0;   6;    3.100;   0;   7.2;  16.6;  985.10;   19.9;   72.00;   23.9;   15.2;   14.9;eor
       5705;20230914;   10;   5.6;   1.7;    9;   0.0;   0;    9.100;   0;   2.6;  11.8;  990.20;   16.2;   66.00;   22.6;   11.3;    9.2;eor
       5705;20230915;   10;   8.4;   2.7;    9;   0.0;   0;   10.600;   0;   0.9;  12.9;  987.20;   17.8;   66.00;   26.4;    9.4;    7.6;eor
       5705;20230916;   10;   5.6;   1.7;    9;   0.0;   6;   11.000;   0;   3.0;  13.8;  984.10;   20.8;   58.00;   29.3;   12.9;   10.7;eor
       5705;20230917;   10;   9.8;   1.9;    9;   0.2;   6;   10.600;   0;   6.3;  15.9;  983.30;   23.0;   59.00;   30.3;   16.2;   14.4;eor
       5705;20230918;   10;  12.0;   3.5;    9;   5.2;   6;    1.700;   0;   7.8;  17.4;  979.10;   18.8;   80.00;   21.8;   16.2;   15.3;eor
       5705;20230919;   10;  16.3;   5.2;    9;   0.0;   0;    9.900;   0;   5.7;  13.5;  982.80;   17.1;   71.00;   21.8;   13.0;   12.0;eor
       5705;20230920;   10;  10.2;   3.1;    9;   0.0;   0;   10.800;   0;   2.8;  12.5;  980.80;   18.9;   60.00;   26.4;   12.6;   11.7;eor
       5705;20230921;   10;  20.9;   1.8;    9;   4.0;   6;    1.700;   0;   6.9;  14.7;  972.00;   18.8;   70.00;   26.9;   12.8;   11.2;eor
       5705;20230922;   10;  12.5;   3.8;    9;   1.7;   6;    2.800;   0;   6.8;  13.9;  974.60;   14.7;   84.00;   19.0;   11.1;   10.2;eor
