STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
       5705;2023071903;   10;  0.00;eor
       5705;2023071904;   10;  0.00;eor
       5705;2023071905;   10;  0.00;eor
       5705;2023071906;   10; 41.00;eor
       5705;2023071907;   10; 60.00;eor
       5705;2023071908;   10; 60.00;eor
       5705;2023071909;   10; 60.00;eor
       5705;2023071910;   10; 60.00;eor
       5705;2023071911;   10; 58.00;eor
       5705;2023071912;   10; 43.00;eor
       5705;2023071913;   10; 32.00;eor
       5705;2023071914;   10;  0.00;eor
       5705;2023071915;   10; 23.00;eor
       5705;2023071916;   10;  0.00;eor
       5705;2023071917;   10;  4.00;eor
       5705;2023071918;   10;  1.00;eor
       5705;2023071919;   10;  0.00;eor
       5705;2023071920;   10;  0.00;eor
       5705;2023072003;   10;  0.00;eor
       5705;2023072004;   10;  0.00;eor
       5705;2023072005;   10; 33.00;eor
       5705;2023072006;   10; 60.00;eor
       5705;2023072007;   10; 60.00;eor
       5705;2023072008;   10; 48.00;eor
       5705;2023072009;   10; 17.00;eor
       5705;2023072010;   10; 54.00;eor
       5705;2023072011;   10; 44.00;eor
       5705;2023072012;   10; 48.00;eor
       5705;2023072013;   10; 49.00;eor
       5705;2023072014;   10; 53.00;eor
       5705;2023072015;   10; 56.00;eor
       5705;2023072016;   10; 38.00;eor
       5705;2023072017;   10; 58.00;eor
       5705;2023072018;   10; 34.00;eor
       5705;2023072019;   10; 22.00;eor
       5705;2023072020;   10;  0.00;eor
       5705;2023072103;   10;  0.00;eor
       5705;2023072104;   10;  0.00;eor
       5705;2023072105;   10;  0.00;eor
       5705;2023072106;   10;  0.00;eor
       5705;2023072107;   10;  0.00;eor
       5705;2023072108;   10;  2.00;eor
       5705;2023072109;   10;  2.00;eor
       5705;2023072110;   10;  0.00;eor
       5705;2023072111;   10; 12.00;eor
       5705;2023072112;   10; 17.00;eor
       5705;2023072113;   10; 13.00;eor
       5705;2023072114;   10;  0.00;eor
       5705;2023072115;   10;  0.00;eor
       5705;2023072116;   10;  0.00;eor
       5705;2023072117;   10; 38.00;eor
       5705;2023072118;   10; 31.00;eor
       5705;2023072119;   10; 32.00;eor
       5705;2023072120;   10;  0.00;eor
       5705;2023072203;   10;  0.00;eor
       5705;2023072204;   10;  0.00;eor
       5705;2023072205;   10; 20.00;eor
       5705;2023072206;   10;  3.00;eor
       5705;2023072207;   10;  0.00;eor
       5705;2023072208;   10; 33.00;eor
       5705;2023072209;   10; 33.00;eor
       5705;2023072210;   10; 45.00;eor
       5705;2023072211;   10; 47.00;eor
       5705;2023072212;   10; 40.00;eor
       5705;2023072213;   10; 29.00;eor
       5705;2023072214;   10; 28.00;eor
       5705;2023072215;   10; 37.00;eor
       5705;2023072216;   10; 23.00;eor
       5705;2023072217;   10; 30.00;eor
       5705;2023072218;   10; 35.00;eor
       5705;2023072219;   10; 11.00;eor
       5705;2023072220;   10;  0.00;eor
       5705;2023072303;   10;  0.00;eor
       5705;2023072304;   10;  0.00;eor
       5705;2023072305;   10; 32.00;eor
       5705;2023072306;   10; 60.00;eor
       5705;2023072307;   10; 58.00;eor
