Zeitstempel;Wetter;Temperatur;Mindesttemperatur;Passanten;Unverifiziert;Location ID;Location Name;GeoShape;GeoPunkt;Passanten ltr;Passanten rtl;Passanten Erwachsene;Passanten Kinder;Passanten Erwachsene ltr;Passanten Passanten rtl;Passanten Kinder ltr;Passanten Kinder rtl;Zonen
2024-11-14;rain;5.1;2.0;25004;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;12186;12818;24649;355;12007;12642;179;176;"[{""id"": 1, ""pedestrians_count"": 12461, ""ltr_pedestrians_count"": 6252, ""rtl_pedestrians_count"": 6209, ""adult_pedestrians_count"": 12242, ""child_pedestrians_count"": 219}, {""id"": 3, ""pedestrians_count"": 12543, ""ltr_pedestrians_count"": 5934, ""rtl_pedestrians_count"": 6609, ""adult_pedestrians_count"": 12407, ""child_pedestrians_count"": 136}]"
2024-09-23;rain;22.0;9.0;24045;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;11977;12068;23703;342;11796;11907;181;161;"[{""id"": 1, ""pedestrians_count"": 13167, ""ltr_pedestrians_count"": 6650, ""rtl_pedestrians_count"": 6517, ""adult_pedestrians_count"": 12932, ""child_pedestrians_count"": 235}, {""id"": 3, ""pedestrians_count"": 10878, ""ltr_pedestrians_count"": 5327, ""rtl_pedestrians_count"": 5551, ""adult_pedestrians_count"": 10771, ""child_pedestrians_count"": 107}]"
2024-09-24;rain;18.0;13.0;24542;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;12101;12441;24189;353;11919;12270;182;171;"[{""id"": 1, ""pedestrians_count"": 12730, ""ltr_pedestrians_count"": 6411, ""rtl_pedestrians_count"": 6319, ""adult_pedestrians_count"": 12536, ""child_pedestrians_count"": 194}, {""id"": 3, ""pedestrians_count"": 11812, ""ltr_pedestrians_count"": 5690, ""rtl_pedestrians_count"": 6122, ""adult_pedestrians_count"": 11653, ""child_pedestrians_count"": 159}]"
2024-02-07;rain;11.0;7.0;16046;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-08;rain;11.7;3.3;17963;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-09;rain;13.9;9.0;28175;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-10;rain;12.0;7.0;39527;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-11;rain;9.0;5.0;21066;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-12;rain;9.0;5.2;24761;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-13;partly-cloudy-day;9.0;0.0;25096;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-14;rain;11.0;3.0;30431;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-15;rain;15.0;8.0;31806;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-16;rain;17.0;8.0;33055;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-17;rain;13.0;7.8;41932;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
2024-02-18;rain;13.0;6.0;8093;0;135;Schönbornstraße;"{""coordinates"": [[[9.930891591802778, 49.795012146595376], [9.931128097514513, 49.79507915654703], [9.931203382337914, 49.795952862293035], [9.931045320515405, 49.79602517939397], [9.930996048492128, 49.79567042082637], [9.93096648527816, 49.79556990589888], [9.930891591802778, 49.795012146595376]]], ""type"": ""Polygon""}";49.795490162266525, 9.931060093195851;;;;;;;;;
