date,ftraffic,ltr,rtl,dow,month,s_holid,p_holid,br_mo,br_fr,bweek,fest
2020-01-01,7285.0,,,Wednesday,January,1,1,0,0,0,0
2020-01-02,40406.0,,,Thursday,January,1,0,0,0,0,0
2020-01-03,41095.0,,,Friday,January,1,0,0,0,0,0
2020-01-04,42096.0,,,Saturday,January,1,0,0,0,0,0
2020-01-05,7847.0,,,Sunday,January,0,0,0,0,0,0
2020-01-06,7787.0,,,Monday,January,0,1,0,0,0,0
2020-01-07,28355.0,,,Tuesday,January,0,0,0,0,0,0
2020-01-08,23928.0,,,Wednesday,January,0,0,0,0,0,0
2020-01-09,29521.0,,,Thursday,January,0,0,0,0,0,0
2020-01-10,30220.0,,,Friday,January,0,0,0,0,0,0
2020-01-11,44711.0,,,Saturday,January,0,0,0,0,0,0
2020-01-12,7309.0,,,Sunday,January,0,0,0,0,0,0
2020-01-13,26045.0,,,Monday,January,0,0,0,0,0,0
2020-01-14,27048.0,,,Tuesday,January,0,0,0,0,0,0
2020-01-15,27996.0,,,Wednesday,January,0,0,0,0,0,0
2020-01-16,29309.0,,,Thursday,January,0,0,0,0,0,0
2020-01-17,31956.0,,,Friday,January,0,0,0,0,0,0
2020-01-18,42800.0,,,Saturday,January,0,0,0,0,0,0
2020-01-19,7657.0,,,Sunday,January,0,0,0,0,0,0
2020-01-20,27255.0,,,Monday,January,0,0,0,0,0,0
2020-01-21,26462.0,,,Tuesday,January,0,0,0,0,0,0
2020-01-22,23508.0,,,Wednesday,January,0,0,0,0,0,0
2020-01-23,25569.0,,,Thursday,January,0,0,0,0,0,0
2020-01-24,29967.0,,,Friday,January,0,0,0,0,0,0
2020-01-25,39899.0,,,Saturday,January,0,0,0,0,0,0
2020-01-26,7613.0,,,Sunday,January,0,0,0,0,0,0
2020-01-27,21696.0,,,Monday,January,0,0,0,0,0,0
2020-01-28,19110.0,,,Tuesday,January,0,0,0,0,0,0
2020-01-29,22503.0,,,Wednesday,January,0,0,0,0,0,0
2020-01-30,27946.0,,,Thursday,January,0,0,0,0,0,0
2020-01-31,33737.0,,,Friday,January,0,0,0,0,0,0
2020-02-01,34857.0,,,Saturday,February,0,0,0,0,0,0
2020-02-02,6900.0,,,Sunday,February,0,0,0,0,0,0
2020-02-03,27509.0,,,Monday,February,0,0,0,0,0,0
2020-02-04,26116.0,,,Tuesday,February,0,0,0,0,0,0
2020-02-05,29474.0,,,Wednesday,February,0,0,0,0,0,0
2020-02-06,28647.0,,,Thursday,February,0,0,0,0,0,0
2020-02-07,33322.0,,,Friday,February,0,0,0,0,0,0
2020-02-08,47913.0,,,Saturday,February,0,0,0,0,0,0
2020-02-09,8334.0,,,Sunday,February,0,0,0,0,0,0
2020-02-10,17161.0,,,Monday,February,0,0,0,0,0,0
2020-02-11,23522.0,,,Tuesday,February,0,0,0,0,0,0
2020-02-12,24992.0,,,Wednesday,February,0,0,0,0,0,0
2020-02-13,23023.0,,,Thursday,February,0,0,0,0,0,0
2020-02-14,36354.0,,,Friday,February,0,0,0,0,0,0
2020-02-15,50480.0,,,Saturday,February,0,0,0,0,0,0
2020-02-16,9292.0,,,Sunday,February,0,0,0,0,0,0
2020-02-17,20123.0,,,Monday,February,0,0,0,0,0,0
2020-02-18,27548.0,,,Tuesday,February,0,0,0,0,0,0
2020-02-19,24872.0,,,Wednesday,February,0,0,0,0,0,0
2020-02-20,29087.0,,,Thursday,February,0,0,0,0,0,0
2020-02-21,33274.0,,,Friday,February,0,0,0,0,0,0
2020-02-22,46509.0,,,Saturday,February,0,0,0,0,0,0
2020-02-23,22408.0,,,Sunday,February,0,0,0,0,0,1
2020-02-24,28297.0,,,Monday,February,1,0,0,0,0,0
2020-02-25,20265.0,,,Tuesday,February,1,0,0,0,0,0
2020-02-26,24522.0,,,Wednesday,February,1,0,0,0,0,0
2020-02-27,24632.0,,,Thursday,February,1,0,0,0,0,0
2020-02-28,31592.0,,,Friday,February,1,0,0,0,0,0
2020-02-29,40164.0,,,Saturday,February,0,0,0,0,0,0
2020-03-01,8819.0,,,Sunday,March,0,0,0,0,0,0
2020-03-02,26405.0,,,Monday,March,0,0,0,0,0,0
2020-03-03,26521.0,,,Tuesday,March,0,0,0,0,0,0
2020-03-04,24236.0,,,Wednesday,March,0,0,0,0,0,0
2020-03-05,19496.0,,,Thursday,March,0,0,0,0,0,0
2020-03-06,22532.0,,,Friday,March,0,0,0,0,0,0
2020-03-07,43428.0,,,Saturday,March,0,0,0,0,0,0
2020-03-08,8965.0,,,Sunday,March,0,0,0,0,0,0
2020-03-09,24472.0,,,Monday,March,0,0,0,0,0,0
2020-03-10,14727.0,,,Tuesday,March,0,0,0,0,0,0
2020-03-11,23422.0,,,Wednesday,March,0,0,0,0,0,0
2020-03-12,23306.0,,,Thursday,March,0,0,0,0,0,0
2020-03-13,25500.0,,,Friday,March,0,0,0,0,0,0
2020-03-14,30468.0,,,Saturday,March,0,0,0,0,0,0
2020-03-15,6601.0,,,Sunday,March,0,0,0,0,0,0
2020-03-16,20602.0,,,Monday,March,0,0,0,0,0,0
2020-03-17,17504.0,,,Tuesday,March,0,0,0,0,0,0
2020-03-18,9337.0,,,Wednesday,March,0,0,0,0,0,0
2020-03-19,7929.0,,,Thursday,March,0,0,0,0,0,0
2020-03-20,6985.0,,,Friday,March,0,0,0,0,0,0
2020-03-21,2131.0,,,Saturday,March,0,0,0,0,0,0
2020-03-22,1307.0,,,Sunday,March,0,0,0,0,0,0
2020-03-23,4464.0,,,Monday,March,0,0,0,0,0,0
2020-03-24,4860.0,,,Tuesday,March,0,0,0,0,0,0
2020-03-25,4414.0,,,Wednesday,March,0,0,0,0,0,0
2020-03-26,4451.0,,,Thursday,March,0,0,0,0,0,0
2020-03-27,5072.0,,,Friday,March,0,0,0,0,0,0
2020-03-28,3893.0,,,Saturday,March,0,0,0,0,0,0
2020-03-29,1258.0,,,Sunday,March,0,0,0,0,0,0
2020-03-30,4878.0,,,Monday,March,0,0,0,0,0,0
2020-03-31,4994.0,,,Tuesday,March,0,0,0,0,0,0
2020-04-01,4956.0,,,Wednesday,April,0,0,0,0,0,0
2020-04-02,5111.0,,,Thursday,April,0,0,0,0,0,0
2020-04-03,4664.0,,,Friday,April,0,0,0,0,0,0
2020-04-04,4390.0,,,Saturday,April,0,0,0,0,0,0
2020-04-05,2155.0,,,Sunday,April,0,0,0,0,0,0
2020-04-06,5718.0,,,Monday,April,1,0,0,0,0,0
2020-04-07,5760.0,,,Tuesday,April,1,0,0,0,0,0
2020-04-08,5583.0,,,Wednesday,April,1,0,0,0,0,0
2020-04-09,5971.0,,,Thursday,April,1,0,0,0,0,0
2020-04-10,2283.0,,,Friday,April,1,1,0,0,0,0
2020-04-11,5210.0,,,Saturday,April,1,0,0,0,0,0
2020-04-12,2166.0,,,Sunday,April,1,0,0,0,0,0
2020-04-13,1378.0,,,Monday,April,1,1,0,0,0,0
2020-04-14,5919.0,,,Tuesday,April,1,0,0,0,0,0
2020-04-15,5902.0,,,Wednesday,April,1,0,0,0,0,0
2020-04-16,5939.0,,,Thursday,April,1,0,0,0,0,0
2020-04-17,6198.0,,,Friday,April,1,0,0,0,0,0
2020-04-18,5301.0,,,Saturday,April,1,0,0,0,0,0
2020-04-19,2817.0,,,Sunday,April,0,0,0,0,0,0
2020-04-20,8411.0,,,Monday,April,0,0,0,0,0,0
2020-04-21,8019.0,,,Tuesday,April,0,0,0,0,0,0
2020-04-22,7461.0,,,Wednesday,April,0,0,0,0,0,0
2020-04-23,7088.0,,,Thursday,April,0,0,0,0,0,0
2020-04-24,7767.0,,,Friday,April,0,0,0,0,0,0
2020-04-25,6803.0,,,Saturday,April,0,0,0,0,0,0
2020-04-26,3562.0,,,Sunday,April,0,0,0,0,0,0
2020-04-27,14598.0,,,Monday,April,0,0,0,0,0,0
2020-04-28,12663.0,,,Tuesday,April,0,0,0,0,0,0
2020-04-29,14377.0,,,Wednesday,April,0,0,0,0,0,0
2020-04-30,14618.0,,,Thursday,April,0,0,0,0,0,0
2020-05-01,2517.0,,,Friday,May,0,1,0,0,0,0
2020-05-02,20359.0,,,Saturday,May,0,0,0,0,0,0
2020-05-03,3754.0,,,Sunday,May,0,0,0,0,0,0
2020-05-04,15351.0,,,Monday,May,0,0,0,0,0,0
2020-05-05,17928.0,,,Tuesday,May,0,0,0,0,0,0
2020-05-06,17613.0,,,Wednesday,May,0,0,0,0,0,0
2020-05-07,18507.0,,,Thursday,May,0,0,0,0,0,0
2020-05-08,19949.0,,,Friday,May,0,0,0,0,0,0
2020-05-09,21516.0,,,Saturday,May,0,0,0,0,0,0
2020-05-10,3868.0,,,Sunday,May,0,0,0,0,0,0
