date,ftraffic,ltr,rtl,dow,month,s_holid,p_holid,br_mo,br_fr,bweek,fest
2024-01-01 00:00:00,1346.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 01:00:00,772.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 02:00:00,211.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 03:00:00,173.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 04:00:00,174.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 05:00:00,160.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 06:00:00,117.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 07:00:00,58.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 08:00:00,25.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 09:00:00,113.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 10:00:00,178.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 11:00:00,291.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 12:00:00,317.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 13:00:00,473.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 14:00:00,532.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 15:00:00,590.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 16:00:00,616.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 17:00:00,549.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 18:00:00,433.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 19:00:00,304.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 20:00:00,250.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 21:00:00,129.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 22:00:00,122.0,,,Monday,January,1,1,0,0,0,0
2024-01-01 23:00:00,62.0,,,Monday,January,1,1,0,0,0,0
2024-01-02 00:00:00,19.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 01:00:00,12.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 02:00:00,0.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 03:00:00,3.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 04:00:00,6.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 05:00:00,14.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 06:00:00,29.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 07:00:00,85.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 08:00:00,133.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 09:00:00,447.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 10:00:00,1320.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 11:00:00,2136.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 12:00:00,2389.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 13:00:00,2200.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 14:00:00,2156.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 15:00:00,2179.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 16:00:00,2106.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 17:00:00,1741.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 18:00:00,1254.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 19:00:00,613.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 20:00:00,209.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 21:00:00,108.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 22:00:00,107.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-02 23:00:00,65.0,,,Tuesday,January,1,0,0,0,0,0
2024-01-03 00:00:00,40.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 01:00:00,28.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 02:00:00,3.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 03:00:00,9.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 04:00:00,3.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 05:00:00,15.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 06:00:00,56.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 07:00:00,136.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 08:00:00,359.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 09:00:00,799.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 10:00:00,1556.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 11:00:00,2431.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 12:00:00,3196.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 13:00:00,3470.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 14:00:00,3557.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 15:00:00,2126.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 16:00:00,2223.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 17:00:00,2621.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 18:00:00,1691.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 19:00:00,979.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 20:00:00,375.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 21:00:00,123.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 22:00:00,125.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-03 23:00:00,36.0,,,Wednesday,January,1,0,0,0,0,0
2024-01-04 00:00:00,37.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 01:00:00,19.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 02:00:00,6.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 03:00:00,3.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 04:00:00,8.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 05:00:00,13.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 06:00:00,59.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 07:00:00,86.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 08:00:00,269.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 09:00:00,678.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 10:00:00,1486.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 11:00:00,2026.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 12:00:00,2437.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 13:00:00,3041.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 14:00:00,3461.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 15:00:00,3811.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 16:00:00,3990.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 17:00:00,3185.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 18:00:00,2267.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 19:00:00,1245.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 20:00:00,453.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 21:00:00,267.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 22:00:00,163.0,,,Thursday,January,1,0,0,0,0,0
2024-01-04 23:00:00,77.0,,,Thursday,January,1,0,0,0,0,0
2024-01-05 00:00:00,51.0,,,Friday,January,1,0,0,0,0,0
